name,category,review.point,price,currency,description.1.2247.
"Cardhu 21 year old, 54.2%",Single Malt Scotch,87,267,$,"One of two new Glen Garioch vintages to be produced under the auspices of Morrison Bowmore Distillers’ master blender Rachel Barrie, this 1995 offering is due to appear in the U.S. next year. 1,000 cases are available and maturation has taken place in first-fill bourbon casks. Spice, vanilla, pears, honey, and very discreet smoke on the nose. Hazelnuts, baked bananas, apple strudel, and lots of spice on the sweet creamy palate, backed up by a gentle note of lingering char. £55"
"Port Ellen 34 year old, 55%",Single Malt Scotch,87,2000,$,"The nose gives a whiff of vanilla fudge, then black pepper, sea salt, and a savory note develops. The palate yields maritime-tinged candied fruits and effervescent smoke. Slightly tarry in the finish. Macho!"
"Pentland Skerries, 46%,",Single Malt Scotch,87,92,$,"Balblair has followed up the first release of its 1975 vintage bottling with a second, which differs significantly in character, having been matured in American oak sherry casks, whereas the initial release had been aged in Spanish oak sherry casks. Floral, mellow, and slightly oily on the nose, with a savory background and ready-salted crisps. Silky smooth on the palate, with citrus fruit, a hint of wood smoke, coconut, and honey. The finish is spicy, with aniseed and oak."
"Auchentoshan Silveroak 1990, 50.9%",Single Malt Scotch,87,145,$,"This is a special bottling for London department store Selfridge's, but it represents a clever strategy by artisan Compass Box to set its own agenda by regionalizing its whiskies. This is a long way from the New York blend—indeed, creamier and sweeter than other recent releases. It has a honey heart, traces of cinnamon, and menthol in the mix, plus wispy smoke. There's some spice and peat late on, but in relatively subdued form. Very pleasant. £85"
"Wemyss Malts Brandy Casket (distilled at Glen Garioch) 1989, 46%",Single Malt Scotch,87,95,$,"Surprisingly pale (you see the issue, Macallan?), but long aging in refill casks helps eliminate the bluntness of oak and can produce aromas that have been reduced and then taken into an exotic realm; here manifested as quince paste and kumquat followed by crystallized and candied fruits. The palate is subtle and soft with light heat, toasted chocolate, white currant, and then overwhelming cherry blossom. Exotic is the word. Bottled for China, but may be given a wider release. £3,000"
"Wemyss Malts Toffee Glaze 1997 (distilled at Clynelish), 46%",Single Malt Scotch,87,68,$,"This expression from the Campbeltown distillery of Springbank was distilled in April 2000, matured for six years in refill bourbon barrels, and then for another six years in Calvados casks. The outturn was 9,420 bottles. Toffee apples dipped in soft spices on the nose, with a follow through of vanilla. Quite viscous on the palate, with white wine, red peppers, and cinnamon, along with a tang of peat. Lime marmalade and a touch more peat in the relatively dry finish.  "
"The Whisky Exchange (distilled at Linkwood) 16 year old, 48%",Single Malt Scotch,87,108,$,"The latest bottling of “Breath” is like a whisky smuggler’s tale. There’s the smell of old waxed walking boots, wet moss, damp earth, crushed bog foliage — heather, bog myrtle — burlap sacking, and a hastily smothered fire. The smoke is well controlled all the way, which helps to allow its scents to run over bitter coffee and a balancing central sweetness. Robust, hairy, and uncompromising, this is less of a breath and more of a roar. £65 "
"That Boutique-y Whisky Company (distilled at Kilchoman, Batch 1), 55.5%",Single Malt Scotch,87,117,$,"Here’s an Islay distillery which has never quite had the investment it deserves. Hopefully this limited release is the start of an addressing of that situation. It has a classic nose with ginger (crystallized) to the fore alongside toasted almond and the balsamic note that you sometimes get with extra-mature whiskies, manifested here as mulberry vinegar. The mouth has coconut, some grip, and — though it fades a little speedily — retained fire. Take with water on the side. £1,999"
"Talisker Triple Matured Edition, 48%",Single Malt Scotch,87,135,$,"This U.S.-exclusive Premium Bourbon Single cask #2096 contrasts nicely with its sherry cask-matured sibling, and offers vanilla, cocoa powder, malt extract, ripe bananas, and spicy sultanas on the nose. The palate is smooth and spicy, with ginger snaps and developing butteriness. The finish is medium to long, with chili notes and citrus fruits at the last. "
"Gordon & MacPhail Connoisseurs Choice (distilled at Macduff) 2000, 46%",Single Malt Scotch,87,76,$,"The ancient variety of barley known as bere that was used to make this Arran single malt was grown on Orkney and distilled in 2004. It was matured for eight years in bourbon barrels, and 5,800 bottles have been released. Very fruity on the nose, principally peaches, with vanilla and fudge, something slightly herbal, wet grass, and finally homemade lemonade. Oily mouthfeel, with fresh oak, cloves, and wild berries. An atypical Arran! The finish is drying and moreish. £48"
"Tweeddale Single Lowland Malt 14 year old, 46%",Single Malt Scotch,87,84,$,"Distilled in 1986, this single cask from Blair Athol distillery in Perthshire yielded 268 bottles, and the nose offers sweet fruits, principally apple and orange, plus walnuts, vanilla, and brittle toffee. Becoming softer and creamier with time. Dark fruit notes on the palate, notably blackcurrants and cranberries, with caramel and cinnamon. The finish is quite viscous, with a little oak, freshly-squeezed lemons, and licorice twists. £85 "
"Single Malts of Scotland (distilled at Longmorn) 1992, 49.7%",Single Malt Scotch,87,135,$,"The least well-known of the Fogwatt trio which includes Longmorn and BenRiach, it’s unlikely that Glen Elgin will become a major brand anytime soon, given how important it is to blenders. A combination of long, slow ferments, and distillation coupled with worm tubs gives a ludicrously fruity spirit, which here is bulging with ripe peach, apricot, and Galia melon coated in cinnamon and nutmeg, given thick weight by the worm tubs. A classic. £34"
"Glenfarclas Family Casks 1969 (Cask #2545), 57.5%",Single Malt Scotch,87,"1,456",$,"Following on from Thor, Loki is the second release in Highland Park’s Valhalla Collection. Loki has been matured in a mix of sherry and heavily-peated casks. Initial notes of marzipan on the nose, then orange, oriental spices, and chili. In time, yellow plums, vanilla, and floral notes. Soft and sweet on the palate, with pink grapefruit, overt smoke, and a touch of salt. The finish features contrasting barbecue and vanilla notes, citrus, and lots of spice."
"Caol Ila 2002 Feis Ile 2014 bottling, 55.5%",Single Malt Scotch,87,167,$,"This 15 year old bottling of Diageo’s Sutherland single malt comes courtesy of The Creative Whisky Co., whose Exclusive Malts range of single cask, cask strength Scotch malt whiskies has recently been imported into the U.S. Fleeting burnt sugar on the nose, then mango and brittle toffee. Vanilla emerges, with slightly smoky malt. Finally, cloves. Mouth-coating, with lively spices, fruit and nut milk chocolate on the palate. Relatively long in the finish, with ginger snaps and a wax-like texture."
"Kilchoman Coull Point, 46%",Single Malt Scotch,87,76,$,"The Dalmore has added a new expression to its Travel Retail portfolio, namely Valour. This variant carries no age statement and maturation began in first-fill bourbon casks and 30 year old Matusalem oloroso sherry butts before undergoing a finishing period in port pipes. The result is a nose of black currants, caramel, and musty sherry. The palate is medium-sweet, with damsons, Jaffa oranges, and printer’s ink. Dark berries emerge in time. The finish embraces drying spices, figs, and mildly astringent oak."
"Carn Mor (distilled at Ben Nevis) 1997, 46%",Single Malt Scotch,87,93,$,"Glenrothes always has a spicy element, but this example ups the ante considerably and, true to the label, it’s fresh-cut ginger root alongside galangal and coriander, a hint of green grass, and even a little bite of jelly babies, alongside black currant leaf. Rothes’ normally languid air is here frothily exuberant, with just sufficient vanilla thickness to offer a brake. Uplifting and good. £107"
"Exclusive Malts North Highland 17 year old 1996 Cask # 7025, 56.1%",Single Malt Scotch,87,120,$,"Having released four previous “work in progress” expressions of Kilkerran, 2013 sees the launch of two editions, one matured in sherry casks and the other in bourbon barrels. The sherry-aged variant yields overripe green grapes and figs on the nose, followed by honey and plain chocolate, while the palate is quite full, softly fruity, with soft toffee and a hint of brine. The finish dries significantly, with cocoa powder, licorice, and lots of spice. £38"
"Tomatin 1988 Vintage, 46%",Single Malt Scotch,87,250,$,"Sweet oak and cod liver oil are what greet you, with fleshy, lychee-like fruits
behind. The smoke here is very polite, giving way to fruit jelly cubes and
peaches, to develop alongside crisp apple. The palate is clean with nutty oak, with
the smoke continuing in the background, offering an extra layer of complexity.
Fresh, belying its age, while it has typical tongue-coating oiliness it remains
understated. Caol Ila basking in the summer sun. (U.S. only)"
"Tomatin Cù Bòcan 1989 Limited Edition, 53.2%",Single Malt Scotch,87,337,$,"This veteran example of Tomatin was distilled in November 1967 and matured for 45 years in refill butt #9315. The outturn was
175 bottles. Uncompromising dark sherry and treacle notes on the fruity nose, along with gunpowder tea. Big, old sherry notes on the full palate, with raisins, sultanas, and a sprinkling of black pepper. Fruity, notably spicy, and not too drying for its age in a relatively supple finish. £230"
"The Famous Grouse Double Matured 16 year old Vic Lee Edition, 40%",Blended Scotch Whisky,87,99,$,"Hankey Bannister includes some stunning aged whiskies in its range, but given the trend toward unaged scotch releases, I was a bit suspicious of this. It lacks depth but nevertheless is a butterfly in a breeze of a whisky; gossamer light, both tantalizing and elusive. It’s liquid honey, with sweet lime and pear, some cocoa, and to give it a modicum of depth, it’s underpinned
by a light saltiness."
"Lord Elcho, 40%",Blended Scotch Whisky,87,43,$,"Each independent bottler has its own signature style. Adelphi’s is about relaxed, contemplative drams with rich maturity and a certain seriousness. Here you see this, plus crème brûlée, sitting in front of a sandalwood backdrop with a bunch of basil mint thrown in. The opening is slow, and while the inherent sweet nature of the distillery is there, hazelnuttish oak helps to add structure and stops any flabbiness from intruding. A luscious dram. £99"
"Wemyss Malts (distilled at Tormore) 1988 Floral Trellis, 46%",Single Malt Scotch,87,189,$,"One of a trio of new whiskies that have spent time in Glenfiddich’s new solera vats, this will surprise many because of its overt smokiness that’s like a bonfire in a pear orchard. Some ferny greenness adds to the freshness. The reverse happens on the palate, with the smoke being held in check by the soft mouthfeel (which could be solera-enhanced), ripe fruits, and gentle creaminess. (Travel Retail; Asia only, currently.)£70"
"Craigellachie 17 year old, 46%",Single Malt Scotch,87,132,$,"Whiskies in Douglas Laing’s new Old Particular range are non-chill filtered and bottled at three strengths, with those aged 19 years and over being offered at 51.5%. This Glen Scotia was distilled in May 1992 and boasts a nose of violets, musky malt, soft smoke, and a fresh sea breeze. Big, spicy, and quite oily on the palate, with dark berries, black tea, and a note of tar. Long and dark in the finish, with oak tannins and persistent licorice. £85"
"Kilkerran Work in Progress 6 Sherry Matured, 46%",Single Malt Scotch,87,60,$,"Smoky, yes, but the effect is more shore-like: on the beach, hot sand, wood smoke, and a faint hint of balloons…there must be a party going on. In addition you get olive oil, preserved lemon, and eucalyptus. The palate is thick with strawberry sweeties that push back against the peat. Water calms things (suggesting this would work with soda), while the finish sees the campfire emit more smoke. £45"
"Bowmore Devil’s Cask Batch 2, 56.3%",Single Malt Scotch,87,95,$,"With no great wood on show, this is a Caol Ila which is time—not oak—driven. A very scented, nay herbal start, like bouquet garni with light smoke, grapefruit, sea-washed stones, ozone, and heather blossom. The retention of aromatics is gorgeous. Water increases the peat effect but diminishes the aromatics, so take your choice. Well worth a look."
"Caol Ila Unpeated 15 year old (Diageo Special Release 2014), 60.39%",Single Malt Scotch,87,120,$,"Here you have the sweetness of rising bread alongside scallop and wreathes of smoke, all lit by west coast sunshine; the peat isn’t dank, but bright and flaming. The palate is sweetly seductive before the smoke begins to come through, then it sweetens like golden syrup, then the shore comes back, and so it continues. Water ups the impact of each, so be careful, as it can then seem disconnected. Sweet, beachy, smoky. Very Islay."
"Gordon & MacPhail Cask Strength 1995 (distilled at Aberfeldy), 55.8%",Single Malt Scotch,87,95,$,"Independent releases of the Perthshire single malt Aberfeldy are relatively rare, and the first batch of That Boutique-y Whisky Company’s no age statement Aberfeldy runs to 155 numbered bottles. The nose features coconut ice, vanilla, malt, candied peel, and ginger. Good mouthfeel, with more malt, ginger-nut biscuits, icing sugar, and milk chocolate. The finish is drying, with oak and black pepper. £65/500 ml"
"Balblair 2003, 46%",Single Malt Scotch,87,65,$,"This is a single cask (#729) bottling, distilled in 1982, and the outturn was just 260 bottles. Soft and supple on the waxy nose, with worn leather, Jaffa oranges, and malt. Lots of leather, with brittle toffee, orange creams, and a slightly musty note on the full palate. Mouth-drying in the lengthy finish, but the tannins never come close to overwhelming. £280"
"Old Masters Freemason Whisky, 40%",Blended Scotch Whisky,87,30,$,"Great King Street was our Blend of the Year two years ago and Compass Box wondered where to take it next. So they have released two versions, asking customers to decide between them by voting online. The other one is peated and will probably win easily, which is a shame, because this is a more subtle and better whisky. Sherry, syrup, honey, apple, and sultanas are all here, but nuanced. Delightful. £30"
"Highland Queen 1561 30 year old, 40%",Blended Scotch Whisky,87,302,$,"There appears to be a concerted effort to bring this distillery out of the shadows: A Good Thing in my opinion. This limited
release is very Cardhu, with masses of mandarin, dried peach, and honey, reminiscent of a fine oxidized Chinese Phoenix Oolong tea, while still retaining the effervescent buzz of youth. Akin to a fine Cuban rum on the tongue, with bittersweet chocolate, dark cherry, and tangy, spicy life, it dies a little quickly, but is a lovely dram. £160"
"Anchor Bay, 40%",Blended Malt Scotch Whisky,87,48,$,"Here’s a classical Port Ellen, where the intense, even monomaniacal delivery of smoke mixes with damp face flannel, purple smoke, green ferns, and rapeseed oil. Lots of minerality, to the point of being almost flintily uncompromising. Water makes it more naked. The palate is excellent, with an explosion of preserved lemon-accented smokiness, touches of Spanish paprika, a sweet syrupy center, before a massive licorice finish. Peatiness for the purist, but whenever was that different? (2,958 bottles)."
"Haig Club, 40%",Blended Malt Scotch Whisky,87,72,$,"Maturation of the Pentland Skerries bottling of the Lighthouse Collection has taken place exclusively in former Spanish sherry casks, which lends the nose rich, dark sherry and Christmas cake notes, caramel and old leather, along with the distillery’s characteristic saltiness, which here comes across as salted peanuts. Full-bodied and slick in the mouth, overt sherry, sultanas, figs, spice, and contrasting brine. Mild maritime notes and autumn fruits combine with prunes and sherry in an accomplished, after-dinner finish. £55/liter"
"Sovereign (distilled at Cameronbridge) 23 year old 1990, 59.2%",Blended Malt Scotch Whisky,87,127,$,"This is the second batch of Silveroak 1990 from Auchentoshan, and it has benefited from an extra year of maturation in bourbon and oloroso sherry casks. The 22 year old is exclusive to Travel Retail outlets. Notably floral on the nose, with fudge, banana, ginger, and attractive oak. On the palate it delivers vanilla, apricots, apples, more ginger, and oak. The finish is long and spicy, with dark coffee notes and a hint of menthol. Greater complexity than its predecessor."
"Highland Journey, 46.2%",Blended Malt Scotch Whisky,87,63,$,"Wemyss Malts has bottled this 23 year old hogshead-matured example of Glen Garioch from the Aberdeenshire village of Oldmeldrum. Just 322 bottles were yielded by the cask. Cigarette tobacco, brittle toffee, and a hint of aniseed on the nose. Vanilla develops, along with strawberries, apples, and pears. Rich malt, walnuts, cooked apple, and cinnamon on the palate. The spicy finish features old leather and pepper. £105 "
"Exclusive Malts Speyside 10 year old 2004, 57.7%",Single Malt Scotch,87,110,$,"The latest Wemyss single cask release of Clynelish from the distillery at Brora in Sutherland runs to 258 bottles and has been matured in a hogshead. Freshly-sliced green apples on the nose, slightly peppery, with grated nutmeg and salted caramels. Relatively full-bodied, with lots of soft fruit, principally Jaffa oranges, and sweet spice. Spicy caramel and cocoa powder in the slowly drying, medium-length finish. £75"
"Glen Grant 50 year old, 54.4%",Single Malt Scotch,87,14999,$,"The combination of Linkwood and sherry cask can be to the detriment of such a perfumed whisky. Not here. The nose speaks of caramel toffee, demerara sugar, and while an oaky touch is there it’s light, allowing plump sultanas, rose, and a delightful balsamic cider vinegar note to emerge. The palate is relaxed and gentle, with darker fruits. There’s sufficient body to cope with the tannic squeeze. It needs water to reach ideal balance. Lovely. £65"
"Glenrothes Vintage Reserve, 40%",Single Malt Scotch,87,60,$,"Startlingly herbal. Penetrating, lifted, and aromatic with dill, mint, and in time, celery leaf and lovage. Smoke is akin to freshly-laid tarmac with some sweet seaweed behind. Lively and quite different to the official bottling. Water brings unripe pineapple, clove, sugared almond, and horseradish. This has typical Kilchoman sweet creaminess in the center. Water brings out flavors of nettles, and saltiness. £69"
"Longrow Red 11 year old Port Cask, 51.8%",Single Malt Scotch,87,82,$,"This no age statement Talisker is one of the first “triple matured” (so-named) whiskies exclusive to Friends of The Classic Malts. Successive periods of aging occurred in refill casks, charred American oak hogsheads, and European oak refill casks. Ozone, fresh asphalt, dried fruits, and old leather on the nose. A big pepper hit in the mouth, backed by earthy peat, Elastoplast, vanilla, and citrus fruits. The pepper lasts right to the end in the long, steadily-drying, charcoal-fueled finish. £80"
"Grand Macnish Black Edition, 40%",Blended Scotch Whisky,87,30,$,"Gordon & MacPhail’s latest bottling from Macduff distillery is a year 2000 distillation, matured in refill sherry hogsheads. American cream soda and light spices on the nose, with honey, and white pepper development. Ultimately, rum and raisin fudge. Smooth and supple in the mouth, with apple peel, soft fino sherry, and nutmeg. The finish is medium in length, with spicy fruit notes. £45"
"Douglas Laing Old Particular (distilled at Glenburgie) 25 year old, 49.3%",Single Malt Scotch,87,190,$,"This unspecified single malt has been bottled non-chill filtered in single cask format. Maturation took place in a barrel that formerly contained Islay single malt. Initially earthy on the nose, with potato skins, salt, and white pepper. Time in the glass teases out fruity, caramel sweetness. The palate is very sweet and zesty, with orange sherbet, along with a nicely integrated maritime note which becomes more pronounced. The finish is spicy and mildly medicinal. £50"
"The Exclusive Malts (distilled at BenRiach) 17 year old 1997 (cask #144744), 54.3%",Single Malt Scotch,87,140,$,"Longmorn always has this fruitcake thing going on and this is no exception. A sherry hoggie  helped provide sultana, cake mix, grilled almond, rhubarb puree, and a little cigar box. The palate is very fruity, with light Darjeeling-like tannins, then red fruits. It becomes nuttier as it moves and needs water to add ripeness to the stone fruit base. Highly recommended and extremely well priced. £80"
"The Exclusive Malts Islay 7 year old 2007 (cask #904), 54.6%",Single Malt Scotch,87,145,$,"This comes from a refill butt and has a light, paler color. The lack of huge oak interaction has given an amazing freshness; think of freshly-applied plaster, syrup, hot green bracken, a touch of nuttiness. It takes water well, allowing pure, soft fruits to come through, and it is these which become almost syrup-like in the mouth, while never losing Glenfarclas’ central depth and roasty richness in the center. £865"
"Douglas Laing Old Particular (distilled at Glen Moray) 14 year old, 48.4%",Single Malt Scotch,87,83,$,"Restrained, ozonic, with no great smokiness to open, but there is a touch of green grass behind meadow flowers and salt-washed stones so typical of the distillery. With water another marker—drying fishing nets—comes through, with breaths of the sea. Subtle and refined. More smoke on the palate, where it’s like a flowering currant bush on fire. Great balance of different elements: smoke, fragrance, oil, acidity. With water, real saltiness comes through. Very good. £99"
"Wemyss Malts Stem Ginger Preserve (distilled at Mortlach) 1995, 46%",Single Malt Scotch,87,133,$,"This strikes me as being the most overtly smoky of Kilchoman’s recent bottlings, and also the sweetest. Intense and very forward, there’s baked apple, humidor notes, honeydew melon, fresh shellfish. Water brings out a putty-like youthfulness, so take it neat. The palate is amazingly sweet (think golden syrup), then the smoke folds itself over. A good—and well-priced—introduction for newcomers.(World of Whiskies UK Travel Retail only) £45"
"Glen Scotia Victoriana, 51.5%",Single Malt Scotch,87,115,$,"This single cask 17 year old expression of Ben Nevis was matured in a sherry butt which yielded 747 bottles. It appears in Carn Mor’s “Strictly Limited” series of releases and has not been chill filtered. The bold nose opens with slightly savory notes and hard-boiled eggs. Sherry, malt, and figs subsequently develop. Quite full-bodied, with rich Jaffa orange and developing plain chocolate on the palate. More dark chocolate and a suggestion of fennel in the medium-length finish. £55"
"Rock Oyster, 46.8%",Blended Malt Scotch Whisky,87,59,$,"From an undisclosed North Highland distillery, aged in a refill sherry hogshead. The impact of the sherry is clear, with ripe blackberry and peach. A floral, sweet, clover honey note rounds out a deliciously lush mouthfeel. This lushness is well balanced by a spicy mid-palate that features black pepper, ginger, and strong salinity that help provide some real depth. A long and slightly dry finish wraps up a solid whisky. (U.S. only)"
"Duncan Taylor (distilled at Imperial) 1995, 48%",Single Malt Scotch,87,325,$,"This vintage expression from Tomatin has been matured in a mix of bourbon and port casks, and is being released in batches. The first comprises 2,500 bottles. The soft, fragrant nose offers strawberries, apricots, honey, and caramel, with a final hint of dry port. Fruit and caramel notes carry over from the nose onto the palate before dark chocolate appears, along with a suggestion of smoke. Subtle oak and ginger in the lengthy finish."
"Kilkerran Work in Progress VII – Bourbon, 54.1%",Single Malt Scotch,87,85,$,"Tomatin launched the peated Cù Bòcan expression last year, and follows it with a vintage variant, the result of “…a rare and unintentional production of peated whisky at the distillery on 7th June 1989.” Three bourbon casks yielded 1,080 bottles. Ripe apples and aerosol furniture polish, with a vanilla and sweet woodsmoke backdrop on the nose. Full-bodied, with intense, sweet fruit notes on the palate, and a heathery, smoky kick. Smoky spice and nutty flavors in the ultimately drying finish. £200"
"Bowmore Mizunara Cask Finish, 53.9%",Single Malt Scotch,87,1000,$,"Just eight whiskies in the blend, married and finished in first fill Spanish sherry and bourbon casks. An insistent nose, crackling with spices, with toasted Eccles cake anointed with grated nutmeg, vanilla extract, cassia, and dark soy sauce. Light honey and vanilla, tangerine oils, and lime peel exhibit perfectly-paced development, with flavor building over a minute or more. Warming ginger, spices, and tropical fruits of guava and papaya close out this first annual special edition. Impressive work."
"Dalwhinnie Distillers Edition 1997, 43%",Single Malt Scotch,87,85,$,"Lord Elcho was an 18th century ancestor of William Wemyss, who fought on Bonnie Prince Charlie’s side at the Battle of Culloden in 1745. With a minimum of 40% malt, this fine blend has a rather perfumed nose of fresh mint, green apple, sliced melon, and tropical fruits. The soft candy sugar and butterscotch palate builds, with layers of malt, cherry laces, gingerbread, and pfeffernüsse leading to a ginger and spice finish of significant length. Highly accomplished. £26"
"Royal Brackla 21 year old, 40%",Single Malt Scotch,87,270,$,"The nose is sweet (think barley sugar/boiled sweets) with little bits of wheat chaff flying around in the background with dried flower petals and drying cut grass. Opens dramatically with water into almond milk/horchata and flowers. The palate is sweet and lifted with those gentle florals to the fore. Instead of Tormore’s normal nagging rigidity, this flows sweetly over the tongue, leaving fruit leather, stewed rhubarb, and with water, rosewater and fresh wild strawberry. A lovely Tormore! £118"
"The Antiquary 35 year old, 46%",Blended Scotch Whisky,87,460,$,"Golden, lifted, and aromatic. The fleshy ripeness of the 13 year old is still there, but that little sulfur edge has now gone, revealing the ripe fruits massing underneath. Now you find pineapple and light chalk. The flowers have become daffodils and bluebells rather than lily, along with a soft, vanilla ice cream plumpness. Sweet and full, and just a shade lighter than the 13 year old. Muscly, but sweet; that’s the paradox of the Craigellachie character. £83"
"The Balvenie DCS Compendium 1st Chapter 1978 37 year old (Cask #2708), 50.2%",Single Malt Scotch,87,"6,542",$,"The latest releases from Glengoyne distillery are 10 year olds, one matured in sherry wood and one in bourbon barrels, as was the case with release 5. 9,000 bottles are available globally. Initially savory on the nose, slightly earthy, with sherry, new leather, lemonade, and a hint of ozone. Spicy and zesty, with developing stewed fruits, dark chocolate, and deep sherry notes on the palate. The finish is long and persistently spicy, mildly smoky, with quite dry sherry notes."
"Benromach 15 year old, 43%",Single Malt Scotch,87,100,$,"Last year’s was a top-notch, defiantly sherried example of Bowmore. This year’s batch thrusts equally boldly, but starts in a more Japanese-accented fashion: think soy, miso paste, and salmon teriyaki. Light leather, with hickory campfire smoke coming through strongly. The big, oily, tarry palate is like a spent barbecue with a hint of skidding car tires on Bowmore High Street. So, still a belter, but why so limited? Beam Suntory, please sort it out! (6,000 bottles) £60"
"Springbank Green 13 year old, 46%",Single Malt Scotch,87,77,$,"The now-annual unpeated release shows its high strength on the nose, but under the burn is a clean, mineral, and slightly lean Caol Ila with just a tiny whiff of smoke. A mix of grassiness/herbal notes, with delicate white fruits that plump out into tinned fruit salad, gooseberry, and fresh pineapple. The palate is sweet and cake-like, while the heat enhances its salty tang. Delightful, sweet, and long. (10,668 bottles)"
"Glen Garioch 15 year old The Renaissance Chapter One, 51.9%",Single Malt Scotch,87,108,$,"This expression from Aberfeldy was distilled in April 1995 and bottled in January 2014 after maturation in refill, remade sherry hogsheads (casks #2,488, 2,489, and 2,491). The nose is floral, with ginger and developing milk chocolate. Progressively sweeter, with slight sherry and vanilla notes. The palate is silky and sweet, with banoffee pie, peaches, and spicy oak. The finish is long, with cocoa powder and more spiced oak. £60"
"Glenmorangie A Midwinter Night's Dram, 43%",Single Malt Scotch,87,58,$,"Balblair Vintage 2003 replaces the previous 2002 expression, matured in second-fill bourbon barrels, with the contents of eighteen making up this first release. Tinned peaches and apricot jam on the nose, with underlying honey and caramel. Early malt, then zesty lemon notes on the palate, which also features freshly-cut grass and hazelnuts. The medium-length finish yields white pepper and cocoa powder."
"Arran The Bothy Quarter Cask, 55.7%",Single Malt Scotch,87,80,$,"Originally created by Lombard for the Freemasons, this has a flavorsome nose of dark chocolate chip cookies, light spices, coconut macaroons, malt, and bright, fresh bananas. The palate is light and unobtrusive, with honey and malt reinforced by the spices running underneath. A shift develops to some later cocoa and chocolate notes, and the mocha finish fades gracefully. A finely balanced concoction, and you will rarely find this quality and flavor for the price"
"That Boutique-y Whisky Company Blended Whisky #1 (Batch 2), 52%",Blended Scotch Whisky,87,178,$,"A limited edition blend with more than 75 percent malt content, containing grains from 1978 and 1979, and malts from 1982. A genteel nose exudes white chocolate, vanilla slice, butterscotch, fresh apricots, and salted pecans. Commanding and rich, it luxuriates in bitter orange, ripe apricots, marmalade, dairy toffees, cinnamon, and raspberry, with a finish of Seville orange rind. It’s a little blander with water, toward baked lemons and barley sugar, so resist and take it as it comes. £190"
"The Macallan Edition No. 1, 48%",Single Malt Scotch,87,90,$,"Lombard’s blend of Speyside malts pleases with an agreeable nose of orchard blossoms, flower honey, caramel, dry hay, and pears baked in brown granulated sugar. It’s homey and comforting, favoring its floral and fruity side. This is a light, sweet whisky that sweeps around the mouth, radiating maltiness, apple, grapefruit, dried mango strips, and mingling spices. A studiously long finish of sucked caramel candy and beeswax follows. A smart choice for the beginning of the evening. £30"
"Ardbeg Dark Cove, 46.5%",Single Malt Scotch,87,110,$,"A confectioner’s delight; Fry’s Five Centres, lime, lemon, kumquat, iced buns, fresh mint, and crushed cardamom that matches the chocolate aromas. Those re-charred, rejuvenated casks are very much in evidence here. It has a gilded, satiny sheen, glistening with lemon drizzle cake, butterscotch, orange matchsticks, and banana bread. Incontrovertibly, it inhabits a signature grain style, but it fizzles out with a sticky, sweet aftertaste, like licking the spoon from the icing bowl. £45"
"Balblair 2005, 46%",Single Malt Scotch,87,60,$,"Appearances can be deceptive, as this pallid specimen proves. Overripe honeydew melons, lemon cheesecake sprinkled with zest, vanilla pear muffins, cooked apple, spring blossoms, and icing sugar. The sweet, sugary opener is burnt out enjoyably by blistering burnt orange, butterscotch, and lemon bonbons. While the flavor intensity builds commendably, it doesn’t escape without a touch of astringency. Water makes this sing ‘Oranges and Lemons,’ but go easy with it. The finish is like a greedy mouthful of tarte au citron. £80"
"Douglas Laing Old Particular (distilled at Glenturret) 1987, 51.5%",Single Malt Scotch,87,151,$,"This was inspired by Stewart Laing’s childhood journeys by steam locomotive from Glasgow to Speyside with his father. Hunter Laing’s blended malt includes contributions from Blair Athol, Teaninich, and Clynelish and raises toffee sauce, dried banana chips, and spring foliage, with a fringe of fresh mint. You can appreciate the cool, clean taste; ripe banana and chocolate-dipped fudge blooming into late notes of mocha, ginger, and chocolate mousse. Dry finish of ginger cookies and espresso. All aboard! £40"
"Wemyss Malts Waffles and Ice Cream (distilled at Clynelish) 1997, 54.2%",Single Malt Scotch,87,144,$,"This cask strength, port cask-aged whisky comes from an undisclosed distillery near Aberlour. The impact of the port cask is unmistakable, with a nose that is deeply fruity with dried apricot, blackberry jam, honey, and malt. On the palate these rich sweet fruit notes are well balanced by black pepper, clove, salt, honey, and a touch of dark chocolate. The underlying proof also helps counterbalance the sweet fruit and drives a medium length and slightly dry finish. (U.S. only)"
"Highland Park ICE Edition, 53.9%",Single Malt Scotch,87,270,$,"Deep ruby with a yellow rim. Clearly mature, and heavily sherried. A highly concentrated nose: Marmite and soy sauce, and all the fresh fruits of youth reduced to essence. Drinkwise, it’s closest to Chinato: curative barks, dried herbs (mint, hyssop, oregano). The palate is unsurprisingly thick and lightly smoky, but the tannins aren't overly astringent, and there remains a sweet core still, even if the overall effect is dark. It’s not obviously Glen Grant, but it is a fascinating glass."
"Ladyburn 41 year old, 40%",Single Malt Scotch,87,1750,$,"A new NAS, this has a thick, silky nose in classic ‘Rothes style which reminds you of coffee cream icing, hazelnut syrup, semi-dried soft fruits, and horchata. The palate has elegance and poise, with a hint of menthol lifting off into pecan and light grippy oak. Has excellent length and mellow flow. Water slightly reduces its voluptuous charms, so be careful (or simply avoid). Praise for revealing all the vintages used, and the fantastic price. Chapeau! £39"
